NOME_ESTACAO;CH_MED;CH_DP;CH4_MED;CH4_DP;CO_MED;CO_DP;DV_MED;DV_DP;ERT_MED;ERT_DP;H2S_MED;H2S_DP;HCT_MED;HCT_DP;HCNM_MED;HCNM_DP;IQAR_MED;IQAR_DP;MP10_MED;MP10_DP;MP2.5_MED;MP2.5_DP;NH3_MED;NH3_DP;NO_MED;NO_DP;NO2_MED;NO2_DP;NOX_MED;NOX_DP;O3_MED;O3_DP;PRESS_MED;PRESS_DP;PTS_MED;PTS_DP;RAD_MED;RAD_DP;SO2_MED;SO2_DP;TEMP_MED;TEMP_DP;U_MED;U_DP;UR_MED;UR_DP;VV_MED;VV_DP
ESCOLA;0.0427502;0.238797;;;;;154.153;65.409;1.63543;10.0787;;;;;;;14.3804;20.9291;;;;;1.87437;6.21618;6.09395;8.82086;7.56769;6.69575;13.4598;10.8431;29.9264;16.9752;1.14379;11.5183;;;;;3.219;23.229;25.4023;3.22084;76.2702;13.0652;;;2.14524;1.49446
ESTEIO/PARQUE DE EXPOSIÇÃO;;;;;2.7028;1.38808;;;;;;;;;;;15.5044;16.7879;18.8063;14.6557;;;;;;;17.416;9.98249;;;20.4496;19.4603;;;;;;;15.0915;16.6562;;;;;;;;
ESCOLA SEMETINHA;;;;;;;;;;;;;;;;;30.1918;31.2786;99.9094;224.12;44.6127;166.499;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTAÇÃO E.M. PE. VICENTE ASSUNÇÃO;;;;;;;;;;;;;;;;;8.11344;10.2313;10.2434;13.664;5.89869;4.63778;;;;;;;;;;;;;27.2581;30.9514;;;;;;;;;;;;
ESTAÇÃO METEREOLÓGICA E QUALIDADE DO AR - PETROBRAS - UTE;;;;;0.226822;0.262926;118.643;101.518;;;;;;;;;13.8706;19.1136;;;;;;;13.9204;15.5489;15.0933;14.1151;29.0137;26.2057;18.6043;29.7064;;;;;;;;;7.18816;29.4772;;;55.5657;31.7691;1.22279;0.990515
ESTAÇÃO PARQUE DA CACHOEIRA;;;;;;;;;;;;;;;;;7.35784;4.23125;5.86201;7.85024;19.6663;17.3641;;;;;;;;;;;;;38.9599;43.323;;;;;;;;;;;;
ESTAÇÃO DE MONITORAMENTO - ELDORADO BRASIL CELULOSE S.A.;0.224999;1.94729;;;0.335263;0.027477;147.296;85.1913;;;;;;;;;18.4824;39.8909;27.0635;113.305;;;;;0.00596791;0.00901515;4.72435;7.58449;7.48023;10.9613;57.6048;27.1241;870.158;206.273;49.7484;168.895;;;;;;;;;139.439;108.118;1.10826;9.59251
ESTAÇÃO DE MONITORAMENTO - SUZANO TLS1-VCPTL - TRÊS LAGOAS;0.0010877;0.028541;;;0.318936;0.408111;169.378;108.03;;;2.7981;2.53331;;;;;10.074;12.2488;;;;;;;3.38538;5.6591;5.73954;7.0482;9.10413;11.6223;13.8207;9.58208;;;;;-17.5;1.45661e-13;16.8211;17.1118;;;;;;;4.80731;4.07038
FUNAM;;;;;;;;;;;;;;;;;47.8703;35.2131;70.0416;148.563;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FUTURAMA I;;;;;;;;;1.0603;7.779;;;;;;;2.55595;12.7714;;;;;;;;;;;;;;;;;;;;;2.51355;12.6679;;;;;;;;
FILHINHA GAMA;;;;;;;;;;;;;;;;;27.5674;22.2432;218.165;361.695;299.363;441.077;;;;;;;;;;;;;;;;;;;;;;;;;;
FÉLIX;;;;;;;;;;;;;;;;;15.2426;15.445;21.321;17.5368;7.34239;8.03226;;;;;;;;;;;;;43.0412;50.2304;;;;;;;;;;;;
GRAVATAÍ/CONDOMÍNIO JARDIM TIMBAÚVA;;;;;;;;;;;;;;;;;33.1958;24.362;15.8473;13.6984;;;;;;;2.94186;5.52425;;;36.8592;23.8349;;;;;;;;;;;;;;;;
GRAVATÁ;0.0337104;0.229848;1.55587;0.498885;0.25605;0.191311;144.742;63.4041;1.1233;8.40194;;;1.82231;0.559522;;;4.58083;9.70055;8.46819;12.774;;;5.49389;3.49352;3.83306;13.1028;6.80899;7.71876;10.5218;18.0233;;;3.1581;46.3008;;;198.634;271.085;2.50736;10.3771;25.458;3.33122;74.2671;13.21;;;2.42264;1.35697
GUAÍBA/PARQUE 35;;;;;0.889344;0.791564;;;;;;;;;;;13.5567;16.4592;24.9036;18.2844;;;;;;;13.2375;12.1113;;;26.3006;14.6014;;;;;;;1.89174;1.29477;;;;;;;;
GRAJAÚ-PARELHEIROS;;;;;;;;;;;;;;;;;27.2422;17.4027;31.7027;19.5642;25.7086;14.0797;;;;;;;;;17.8336;7.53963;;;;;;;;;;;;;;;;
GUARATINGUETÁ;;;;;;;;;;;;;;;;;22.122;7.76703;29.9343;9.80413;21.854;7.37552;;;;;;;;;21.3783;7.34593;;;;;;;;;;;;;;;;
GUARULHOS-PAÇO MUNICIPAL;;;;;;;;;;;;;;;;;26.733;13.4943;27.7678;13.1851;28.1342;14.0282;;;;;;;;;22.2036;11.0152;;;;;;;;;;;;;;;;
GUARULHOS-PIMENTAS;;;;;;;;;;;;;;;;;28.4301;14.3241;29.1387;13.3539;34.9096;17.8387;;;;;8.29412;3.2857;;;23.8041;9.50407;;;;;;;27.7742;14.9272;;;;;;;;
HOSPITAL VITAL BRAZIL;;;;;;;;;;;;;;;;;14.7983;6.61049;;;14.5546;6.67454;;;;;;;;;;;;;;;;;;;;;;;;;;
IBIRAPUERA;;;;;1.0;0.0;;;;;;;;;;;28.0945;14.235;;;31.0166;14.0974;;;;;9.2381;3.74045;;;24.8407;13.6189;;;;;;;;;;;;;;;;
INTERLAGOS;;;;;;;;;;;;;;;;;23.3756;12.2885;25.2077;12.4765;;;;;;;7.0;1.56347;;;21.5933;11.8119;;;;;;;;;;;;;;;;
IRAJÁ;;;2.0384;0.250858;0.38669;0.361188;160.1;82.7948;;;;;2.32497;0.556947;0.286364;0.517533;25.2771;22.6723;40.6025;20.3701;21.2165;14.4232;;;15.555;36.5096;30.9754;21.6691;48.2496;58.583;30.0714;26.864;1.35254;0.00588107;;;163.912;255.4;5.56938;3.09832;25.7996;3.77242;;;72.799;23.0034;0.305153;0.201847
ITAIM PAULISTA;;;;;;;;;;;;;;;;;29.1624;14.8034;29.5963;14.9332;36.1319;16.6933;;;;;;;;;23.869;10.4638;;;;;;;;;;;;;;;;
ITAQUERA;;;;;;;;;;;;;;;;;17.9382;11.3788;;;;;;;;;;;;;17.9382;11.3788;;;;;;;;;;;;;;;;
JACAREÍ;;;;;;;;;;;;;;;;;21.2439;16.7126;23.563;12.4177;;;;;;;8.18033;31.5285;;;18.8041;19.7906;;;;;;;;;;;;;;;;
JARDIM ENCANTADO;;;;;;;;;;;;;;;;;14.6805;8.03076;866.425;299.87;254.76;419.263;;;;;;;;;;;;;;;;;;;;;;;;;;
JARDIM PROFETA;;;;;;;;;;;;;;;;;46.4637;37.4886;44.6328;36.1696;;;;;;;;;;;;;;;53.5702;43.3117;;;;;;;;;;;;
JAÚ;;;;;;;;;;;;;;;;;22.6664;9.95673;25.1808;11.103;;;;;;;;;;;18.9563;6.35792;;;;;;;;;;;;;;;;
JUNDIAÍ;;;;;;;;;;;;;;;;;24.4597;11.4379;19.4923;8.8606;25.5947;10.2815;;;;;12.0667;3.23454;;;24.6932;12.9321;;;;;;;;;;;;;;;;
LAMARÃO;0.035757;0.242618;;;;;169.303;82.2459;0.495361;4.51463;;;;;;;10.1921;18.7202;;;;;;;14.5083;76.2064;5.0306;19.0804;18.4929;78.0979;21.8268;16.7573;1.00875;0.00266962;;;148.932;209.375;1.60465;11.8407;24.9636;3.61003;78.5263;13.6619;;;1.75031;1.44078
LEANDRINHO;;;1.61391;0.531473;;;148.536;73.9056;1.13578;3.06124;;;1.87259;0.62042;;;8.13151;13.6147;15.8562;11.8339;7.10341;9.99115;;;2.39511;5.99195;6.39693;3.89958;8.63133;4.48078;;;;;;;;;2.91952;19.6592;;;;;;;1.41796;1.01658
LAGOA TRINDADE RODRIGUES;;;;;;;;;;;;;;;;;20.3102;12.996;37.6627;127.642;;;;;;;;;;;;;;;40.1247;96.4968;;;;;;;;;;;;
