 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação
Classif. Final: Confirmado
Período:2009-2010
"Município de notificação";"Freqüência"
"355645 VARGEM GRANDE PAULISTA";1
"355650 VARZEA PAULISTA";1
"355670 VINHEDO";5
"355690 VISTA ALEGRE DO ALTO";1
"355700 VOTORANTIM";11
"355710 VOTUPORANGA";11
"410010 ABATIA";8
"410030 AGUDOS DO SUL";6
"410040 ALMIRANTE TAMANDARE";199
"410045 ALTAMIRA DO PARANA";1
"410060 ALTO PARANA";2
"410070 ALTO PIQUIRI";1
"410080 ALVORADA DO SUL";17
"410090 AMAPORA";4
"410100 AMPERE";13
"410105 ANAHY";1
"410110 ANDIRA";41
"410115 ANGULO";32
"410120 ANTONINA";18
"410140 APUCARANA";181
"410150 ARAPONGAS";122
"410160 ARAPOTI";35
"410165 ARAPUA";1
"410170 ARARUNA";15
"410180 ARAUCARIA";288
"410185 ARIRANHA DO IVAI";1
"410190 ASSAI";74
"410200 ASSIS CHATEAUBRIAND";129
"410210 ASTORGA";86
"410220 ATALAIA";3
"410230 BALSA NOVA";2
"410240 BANDEIRANTES";291
"410250 BARBOSA FERRAZ";13
"410260 BARRACAO";33
"410270 BARRA DO JACARE";1
"410275 BELA VISTA DA CAROBA";3
"410280 BELA VISTA DO PARAISO";60
"410290 BITURUNA";20
"410300 BOA ESPERANCA";30
"410305 BOA VISTA DA APARECIDA";50
"410315 BOM JESUS DO SUL";2
"410320 BOM SUCESSO";23
"410330 BORRAZOPOLIS";1
"410335 BRAGANEY";3
"410340 CAFEARA";18
"410345 CAFELANDIA";184
"410350 CALIFORNIA";14
"410360 CAMBARA";11
"410370 CAMBE";1090
"410380 CAMBIRA";4
"410390 CAMPINA DA LAGOA";52
"410400 CAMPINA GRANDE DO SUL";15
"410405 CAMPO BONITO";4
"410420 CAMPO LARGO";49
"410430 CAMPO MOURAO";152
"410440 CANDIDO DE ABREU";23
"410442 CANDOI";15
"410445 CANTAGALO";11
"410450 CAPANEMA";90
"410460 CAPITAO LEONIDAS MARQUES";18
"410465 CARAMBEI";18
"410470 CARLOPOLIS";19
"410480 CASCAVEL";1742
"410490 CASTRO";87
"410500 CATANDUVAS";17
"410510 CENTENARIO DO SUL";51
"410530 CEU AZUL";7
"410540 CHOPINZINHO";47
"410550 CIANORTE";605
"410560 CIDADE GAUCHA";31
"410570 CLEVELANDIA";79
"410580 COLOMBO";95
"410590 COLORADO";209
"410610 CONSELHEIRO MAIRINCK";11
"410620 CONTENDA";1
"410630 CORBELIA";166
"410640 CORNELIO PROCOPIO";246
"410645 CORONEL DOMINGOS SOARES";4
"410650 CORONEL VIVIDA";6
"410655 CORUMBATAI DO SUL";10
"410657 CRUZEIRO DO IGUACU";8
"410660 CRUZEIRO DO OESTE";1
"410670 CRUZEIRO DO SUL";11
"410680 CRUZ MACHADO";54
"410685 CRUZMALTINA";5
"410690 CURITIBA";5578
"410700 CURIUVA";12
"410715 DIAMANTE D'OESTE";10
"410720 DOIS VIZINHOS";58
"410730 DOUTOR CAMARGO";6
"410740 ENEAS MARQUES";21
"410750 ENGENHEIRO BELTRAO";53
"410753 ENTRE RIOS DO OESTE";38
"410754 ESPIGAO ALTO DO IGUACU";9
"410755 FAROL";4
"410760 FAXINAL";50
"410765 FAZENDA RIO GRANDE";80
"410773 FERNANDES PINHEIRO";11
"410775 FIGUEIRA";11
"410780 FLORAI";33
"410785 FLOR DA SERRA DO SUL";2
"410790 FLORESTA";24
"410800 FLORESTOPOLIS";26
"410810 FLORIDA";63
"410820 FORMOSA DO OESTE";27
"410830 FOZ DO IGUACU";469
"410840 FRANCISCO BELTRAO";342
"410850 GENERAL CARNEIRO";12
"410855 GODOY MOREIRA";27
"410860 GOIOERE";42
"410870 GRANDES RIOS";2
"410880 GUAIRA";99
"410890 GUAIRACA";1
"410895 GUAMIRANGA";7
"410900 GUAPIRAMA";13
"410920 GUARACI";21
"410930 GUARANIACU";89
"410940 GUARAPUAVA";314
"410960 GUARATUBA";52
"410965 HONORIO SERPA";16
"410970 IBAITI";127
"410975 IBEMA";1
"410980 IBIPORA";461
"410990 ICARAIMA";1
"411000 IGUARACU";41
"411005 IGUATU";2
"411007 IMBAU";6
"411010 IMBITUVA";65
"411020 INACIO MARTINS";6
"411050 IPIRANGA";4
"411065 IRACEMA DO OESTE";14
"411070 IRATI";113
"411080 IRETAMA";6
"411090 ITAGUAJE";7
"411095 ITAIPULANDIA";217
"411100 ITAMBARACA";39
"411110 ITAMBE";16
"411120 ITAPEJARA D'OESTE";5
"411150 IVAIPORA";51
"411160 IVATUBA";4
"411170 JABOTI";1
"411180 JACAREZINHO";89
"411190 JAGUAPITA";26
"411200 JAGUARIAIVA";46
"411210 JANDAIA DO SUL";24
"411220 JANIOPOLIS";3
"411230 JAPIRA";4
"411240 JAPURA";5
"411250 JARDIM ALEGRE";13
"411260 JARDIM OLINDA";2
"411270 JATAIZINHO";66
"411275 JESUITAS";53
"411280 JOAQUIM TAVORA";8
"411295 JURANDA";6
"411300 JUSSARA";35
"411310 KALORE";7
"411320 LAPA";4
"411330 LARANJEIRAS DO SUL";86
"411340 LEOPOLIS";30
"411342 LIDIANOPOLIS";3
"411345 LINDOESTE";3
"411350 LOANDA";13
"411360 LOBATO";59
"411370 LONDRINA";4077
"411373 LUIZIANA";14
"411375 LUNARDELLI";3
"411380 LUPIONOPOLIS";8
"411390 MALLET";11
"411400 MAMBORE";6
"411410 MANDAGUACU";46
"411420 MANDAGUARI";183
"411430 MANDIRITUBA";1
"411435 MANFRINOPOLIS";2
"411440 MANGUEIRINHA";103
"411450 MANOEL RIBAS";36
"411460 MARECHAL CANDIDO RONDON";283
"411480 MARIALVA";111
"411490 MARILANDIA DO SUL";4
"411500 MARILENA";27
"411520 MARINGA";2213
"411530 MARIOPOLIS";38
