 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação e Síndrome Gripal
Período:2009-2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"421105 MONTE CARLO";5;-;-;5
"421110 MONTE CASTELO";4;-;-;4
"421120 MORRO DA FUMACA";12;-;-;12
"421130 NAVEGANTES";38;2;-;40
"421140 NOVA ERECHIM";3;-;-;3
"421150 NOVA TRENTO";1;-;-;1
"421160 NOVA VENEZA";22;-;3;25
"421170 ORLEANS";55;6;-;61
"421175 OTACILIO COSTA";1;-;-;1
"421180 OURO";1;-;-;1
"421190 PALHOCA";3;-;1;4
"421200 PALMA SOLA";7;-;-;7
"421210 PALMITOS";26;1;6;33
"421220 PAPANDUVA";4;-;-;4
"421250 PENHA";1;-;-;1
"421260 PERITIBA";1;-;-;1
"421270 PETROLANDIA";1;-;1;2
"421280 BALNEARIO PICARRAS";11;1;-;12
"421290 PINHALZINHO";29;3;1;33
"421310 PIRATUBA";11;1;-;12
"421320 POMERODE";24;1;2;27
"421330 PONTE ALTA";3;-;-;3
"421335 PONTE ALTA DO NORTE";1;-;-;1
"421340 PONTE SERRADA";-;1;-;1
"421360 PORTO UNIAO";18;-;1;19
"421370 POUSO REDONDO";1;-;-;1
"421380 PRAIA GRANDE";1;-;-;1
"421390 PRESIDENTE CASTELLO BRANCO";1;-;-;1
"421420 QUILOMBO";8;1;-;9
"421440 RIO DAS ANTAS";2;-;-;2
"421470 RIO DOS CEDROS";1;-;-;1
"421480 RIO DO SUL";22;1;4;27
"421490 RIO FORTUNA";8;-;3;11
"421500 RIO NEGRINHO";4;-;1;5
"421540 SALTO VELOSO";2;-;-;2
"421545 SANGAO";8;-;-;8
"421550 SANTA CECILIA";11;-;-;11
"421555 SANTA HELENA";2;-;-;2
"421560 SANTA ROSA DE LIMA";1;1;-;2
"421570 SANTO AMARO DA IMPERATRIZ";5;-;-;5
"421580 SAO BENTO DO SUL";62;-;3;65
"421590 SAO BONIFACIO";2;-;-;2
"421600 SAO CARLOS";7;-;-;7
"421605 SAO CRISTOVAO DO SUL";1;1;-;2
"421610 SAO DOMINGOS";9;-;-;9
"421620 SAO FRANCISCO DO SUL";13;1;-;14
"421625 SAO JOAO DO OESTE";1;-;-;1
"421630 SAO JOAO BATISTA";3;-;-;3
"421650 SAO JOAQUIM";2;-;-;2
"421660 SAO JOSE";119;1;20;140
"421670 SAO JOSE DO CEDRO";8;-;-;8
"421680 SAO JOSE DO CERRITO";5;2;-;7
"421690 SAO LOURENCO DO OESTE";40;-;18;58
"421700 SAO LUDGERO";-;1;-;1
"421710 SAO MARTINHO";1;-;-;1
"421720 SAO MIGUEL DO OESTE";27;-;2;29
"421730 SAUDADES";11;-;1;12
"421740 SCHROEDER";2;1;-;3
"421750 SEARA";8;-;-;8
"421760 SIDEROPOLIS";4;-;-;4
"421770 SOMBRIO";10;-;-;10
"421790 TANGARA";2;-;-;2
"421820 TIMBO";22;4;2;28
"421830 TRES BARRAS";23;1;1;25
"421835 TREVISO";3;-;-;3
"421840 TREZE DE MAIO";2;-;-;2
"421860 TROMBUDO CENTRAL";2;-;-;2
"421870 TUBARAO";601;13;41;655
"421875 TUNAPOLIS";13;-;-;13
"421880 TURVO";8;-;-;8
"421895 URUPEMA";1;-;-;1
"421900 URUSSANGA";5;1;-;6
"421910 VARGEAO";4;-;-;4
"421930 VIDEIRA";66;-;2;68
"421950 XANXERE";47;4;3;54
"421960 XAVANTINA";6;-;-;6
"421970 XAXIM";44;1;-;45
"430003 ACEGUA";-;1;-;1
"430010 AGUDO";2;-;-;2
"430040 ALEGRETE";23;23;1;47
"430050 ALPESTRE";1;-;-;1
"430055 ALTO ALEGRE";1;-;-;1
"430060 ALVORADA";65;-;2;67
"430064 AMETISTA DO SUL";1;-;-;1
"430070 ANTA GORDA";1;2;-;3
"430080 ANTONIO PRADO";1;-;-;1
"430100 ARROIO DO MEIO";3;-;-;3
"430130 ARROIO GRANDE";15;-;-;15
"430140 ARVOREZINHA";2;1;-;3
"430155 AUREA";1;-;-;1
"430160 BAGE";59;10;11;80
"430163 BALNEARIO PINHAL";-;1;-;1
"430170 BARAO DE COTEGIPE";5;-;-;5
"430180 BARRACAO";1;-;-;1
"430185 BARRA DO GUARITA";5;-;-;5
"430187 BARRA DO QUARAI";1;1;-;2
"430190 BARRA DO RIBEIRO";-;2;-;2
"430192 BARRA DO RIO AZUL";1;-;-;1
"430205 BENJAMIN CONSTANT DO SUL";1;-;-;1
"430210 BENTO GONCALVES";161;16;6;183
"430230 BOM JESUS";2;-;-;2
"430235 BOM PRINCIPIO";2;-;-;2
"430240 BOM RETIRO DO SUL";2;1;-;3
"430250 BOSSOROCA";-;1;-;1
"430280 CACAPAVA DO SUL";1;1;-;2
"430300 CACHOEIRA DO SUL";12;-;-;12
"430310 CACHOEIRINHA";33;-;2;35
"430320 CACIQUE DOBLE";2;-;-;2
"430350 CAMAQUA";3;-;-;3
"430370 CAMPINA DAS MISSOES";10;-;-;10
"430380 CAMPINAS DO SUL";8;-;1;9
"430390 CAMPO BOM";20;-;-;20
"430420 CANDELARIA";7;-;-;7
"430430 CANDIDO GODOI";5;1;-;6
"430440 CANELA";21;1;6;28
"430450 CANGUCU";19;-;2;21
"430460 CANOAS";167;14;11;192
"430463 CAPAO DA CANOA";9;2;1;12
"430468 CAPELA DE SANTANA";3;-;-;3
"430470 CARAZINHO";24;9;7;40
"430480 CARLOS BARBOSA";22;-;1;23
"430490 CASCA";2;-;-;2
"430510 CAXIAS DO SUL";213;96;21;330
"430520 CERRO LARGO";2;-;-;2
"430530 CHAPADA";-;3;-;3
"430535 CHARQUEADAS";1;-;-;1
"430545 CIDREIRA";3;1;-;4
"430595 COTIPORA";-;1;-;1
"430610 CRUZ ALTA";16;3;8;27
"430620 CRUZEIRO DO SUL";2;2;-;4
"430630 DAVID CANABARRO";1;-;-;1
"430635 DEZESSEIS DE NOVEMBRO";-;1;-;1
"430640 DOIS IRMAOS";10;-;-;10
"430660 DOM PEDRITO";8;-;-;8
"430673 DOUTOR MAURICIO CARDOSO";1;1;-;2
"430675 DOUTOR RICARDO";1;1;-;2
"430676 ELDORADO DO SUL";1;-;-;1
"430680 ENCANTADO";6;-;-;6
"430690 ENCRUZILHADA DO SUL";-;1;-;1
"430695 ENTRE RIOS DO SUL";2;-;-;2
"430700 ERECHIM";113;20;9;142
"430710 HERVAL";1;-;-;1
"430730 ERVAL SECO";2;-;-;2
"430745 ESPERANCA DO SUL";1;-;-;1
"430750 ESPUMOSO";2;1;-;3
"430755 ESTACAO";7;-;-;7
"430760 ESTANCIA VELHA";15;-;1;16
"430770 ESTEIO";22;-;-;22
"430780 ESTRELA";15;5;2;22
"430781 ESTRELA VELHA";1;-;-;1
"430790 FARROUPILHA";28;16;1;45
"430810 FELIZ";5;-;-;5
"430820 FLORES DA CUNHA";10;2;-;12
"430840 FORMIGUEIRO";1;-;-;1
"430850 FREDERICO WESTPHALEN";31;6;-;37
"430860 GARIBALDI";14;1;1;16
"430890 GETULIO VARGAS";29;1;-;30
"430900 GIRUA";12;-;-;12
"430910 GRAMADO";21;2;-;23
"430920 GRAVATAI";16;3;-;19
"430930 GUAIBA";2;-;-;2
"430940 GUAPORE";12;3;-;15
"430950 GUARANI DAS MISSOES";1;-;-;1
"430955 HARMONIA";-;1;-;1
"430960 HORIZONTINA";7;-;-;7
"430980 IBIACA";1;-;-;1
"431000 IBIRUBA";4;-;1;5
"431010 IGREJINHA";10;-;-;10
"431020 IJUI";22;7;5;34
"431030 ILOPOLIS";2;-;-;2
"431033 IMBE";2;-;-;2
"431050 IRAI";3;-;-;3
"431060 ITAQUI";22;24;-;46
"431080 IVOTI";20;1;-;21
"431090 JACUTINGA";3;-;-;3
"431100 JAGUARAO";5;1;-;6
"431110 JAGUARI";1;-;-;1
"431112 JAQUIRANA";1;-;-;1
"431120 JULIO DE CASTILHOS";10;-;-;10
"431130 LAGOA VERMELHA";6;-;1;7
"431140 LAJEADO";21;3;3;27
"431162 LINDOLFO COLLOR";3;-;-;3
"431164 LINHA NOVA";1;-;-;1
"431180 MARAU";6;2;1;9
"431190 MARCELINO RAMOS";2;-;-;2
"431200 MARIANO MORO";2;-;-;2
"431210 MATA";3;-;-;3
"431240 MONTENEGRO";39;32;5;76
"431250 MOSTARDAS";-;1;-;1
"431265 NAO-ME-TOQUE";15;1;2;18
"431270 NONOAI";11;-;1;12
"431290 NOVA BASSANO";3;1;1;5
"431310 NOVA PALMA";3;2;-;5
"431320 NOVA PETROPOLIS";5;1;-;6
"431330 NOVA PRATA";52;12;2;66
"431340 NOVO HAMBURGO";107;28;19;154
"431350 OSORIO";3;1;-;4
"431360 PAIM FILHO";6;1;-;7
"431370 PALMEIRA DAS MISSOES";3;2;-;5
"431380 PALMITINHO";2;-;-;2
"431390 PANAMBI";-;1;-;1
"431400 PARAI";4;-;-;4
"431405 PAROBE";6;1;-;7
"431407 PASSO DO SOBRADO";1;-;-;1
"431410 PASSO FUNDO";117;76;13;206
"431420 PEDRO OSORIO";2;-;-;2
"431440 PELOTAS";118;12;11;141
"431442 PICADA CAFE";2;-;-;2
"431445 PINHAL";1;-;-;1
"431470 PLANALTO";3;-;-;3
"431478 PONTE PRETA";1;-;-;1
"431480 PORTAO";3;-;-;3
"431490 PORTO ALEGRE";709;416;180;1305
"431500 PORTO LUCENA";4;1;-;5
"431510 PORTO XAVIER";3;1;-;4
"431514 PRESIDENTE LUCENA";1;-;-;1
"431520 PUTINGA";1;-;-;1
"431530 QUARAI";1;-;-;1
"431531 QUATRO IRMAOS";1;-;-;1
"431535 QUINZE DE NOVEMBRO";4;-;-;4
"431545 RELVADO";-;1;-;1
"431550 RESTINGA SECA";-;1;-;1
"431560 RIO GRANDE";68;7;6;81
"431570 RIO PARDO";26;2;1;29
"431580 ROCA SALES";2;-;-;2
"431590 RODEIO BONITO";4;-;-;4
"431595 ROLADOR";1;-;-;1
"431610 RONDA ALTA";4;-;-;4
"431630 ROQUE GONZALES";1;-;-;1
"431640 ROSARIO DO SUL";18;2;1;21
"431645 SALTO DO JACUI";1;1;1;3
"431660 SANANDUVA";13;-;-;13
"431670 SANTA BARBARA DO SUL";5;-;-;5
"431680 SANTA CRUZ DO SUL";144;38;25;207
"431690 SANTA MARIA";63;58;2;123
"431710 SANT'ANA DO LIVRAMENTO";19;6;-;25
"431720 SANTA ROSA";31;7;4;42
"431725 SANTA TEREZA";1;-;-;1
"431730 SANTA VITORIA DO PALMAR";7;3;-;10
"431740 SANTIAGO";31;-;-;31
"431750 SANTO ANGELO";13;8;2;23
"431760 SANTO ANTONIO DA PATRULHA";6;-;-;6
"431770 SANTO ANTONIO DAS MISSOES";1;-;-;1
"431790 SANTO CRISTO";4;-;1;5
"431800 SAO BORJA";14;33;1;48
"431805 SAO DOMINGOS DO SUL";1;-;-;1
"431810 SAO FRANCISCO DE ASSIS";19;-;-;19
"431830 SAO GABRIEL";75;69;3;147
"431840 SAO JERONIMO";12;-;-;12
"431848 SAO JOSE DO HORTENCIO";1;-;-;1
"431849 SAO JOSE DO INHACORA";1;-;-;1
"431850 SAO JOSE DO NORTE";10;-;-;10
"431860 SAO JOSE DO OURO";8;-;1;9
"431861 SAO JOSE DO SUL";-;1;-;1
"431870 SAO LEOPOLDO";167;55;1;223
"431880 SAO LOURENCO DO SUL";8;-;-;8
"431890 SAO LUIZ GONZAGA";29;22;4;55
"431900 SAO MARCOS";3;1;-;4
"431915 SAO MIGUEL DAS MISSOES";2;-;-;2
"431940 SAO PEDRO DO SUL";2;-;-;2
"431950 SAO SEBASTIAO DO CAI";4;2;-;6
"431960 SAO SEPE";1;-;-;1
"431980 SAO VICENTE DO SUL";3;-;-;3
"431990 SAPIRANGA";38;13;6;57
"432000 SAPUCAIA DO SUL";39;4;2;45
"432020 SEBERI";12;1;-;13
"432026 SEGREDO";1;-;-;1
"432030 SELBACH";1;-;-;1
"432032 SENADOR SALGADO FILHO";1;1;-;2
"432040 SERAFINA CORREA";1;-;-;1
"432080 SOLEDADE";14;4;1;19
"432090 TAPEJARA";5;-;-;5
"432100 TAPERA";2;3;-;5
"432110 TAPES";1;-;-;1
"432120 TAQUARA";-;1;-;1
"432130 TAQUARI";2;-;-;2
"432132 TAQUARUCU DO SUL";3;-;-;3
"432140 TENENTE PORTELA";19;1;-;20
"432145 TEUTONIA";13;-;2;15
"432147 TIRADENTES DO SUL";1;-;-;1
"432150 TORRES";13;1;2;16
"432160 TRAMANDAI";14;2;1;17
"432180 TRES DE MAIO";12;2;2;16
"432190 TRES PASSOS";28;5;-;33
"432200 TRIUNFO";5;4;1;10
"432210 TUCUNDUVA";59;-;1;60
"432225 TUPANDI";3;-;-;3
"432230 TUPARENDI";1;-;-;1
"432240 URUGUAIANA";45;64;1;110
"432250 VACARIA";62;8;2;72
"432253 VALE DO SOL";3;-;-;3
"432260 VENANCIO AIRES";14;3;-;17
"432270 VERA CRUZ";6;1;-;7
"432280 VERANOPOLIS";15;4;2;21
"432290 VIADUTOS";1;-;-;1
"432300 VIAMAO";37;3;5;45
"432310 VICENTE DUTRA";1;-;-;1
"432320 VICTOR GRAEFF";1;-;-;1
"432330 VILA FLORES";1;-;-;1
"432345 VILA NOVA DO SUL";1;1;-;2
"432360 VISTA ALEGRE DO PRATA";1;-;-;1
"500060 AMAMBAI";1;1;-;2
"500070 ANASTACIO";1;-;-;1
"500080 ANAURILANDIA";4;-;-;4
"500110 AQUIDAUANA";3;-;-;3
"500124 ARAL MOREIRA";1;-;-;1
"500190 BATAGUASSU";3;-;-;3
"500210 BELA VISTA";4;1;-;5
"500220 BONITO";1;-;-;1
"500240 CAARAPO";4;-;-;4
"500260 CAMAPUA";1;-;-;1
"500270 CAMPO GRANDE";132;29;30;191
"500295 CHAPADAO DO SUL";3;1;-;4
"500320 CORUMBA";11;2;-;13
"500325 COSTA RICA";6;-;-;6
"500345 DEODAPOLIS";1;-;-;1
"500370 DOURADOS";30;12;2;44
"500375 ELDORADO";1;-;-;1
"500380 FATIMA DO SUL";1;-;1;2
"500430 IGUATEMI";2;-;-;2
"500440 INOCENCIA";3;-;1;4
"500450 ITAPORA";2;-;-;2
"500520 LADARIO";4;-;-;4
"500540 MARACAJU";4;-;-;4
"500568 MUNDO NOVO";3;3;-;6
"500570 NAVIRAI";2;-;1;3
"500620 NOVA ANDRADINA";3;-;-;3
"500630 PARANAIBA";1;-;-;1
"500660 PONTA PORA";12;2;-;14
"500769 SAO GABRIEL DO OESTE";7;-;-;7
"500790 SIDROLANDIA";11;-;-;11
"500793 SONORA";1;-;-;1
"500800 TERENOS";1;-;-;1
"500830 TRES LAGOAS";22;-;1;23
"510020 AGUA BOA";-;-;1;1
"510025 ALTA FLORESTA";1;-;-;1
"510030 ALTO ARAGUAIA";1;-;-;1
"510170 BARRA DO BUGRES";-;-;1;1
"510180 BARRA DO GARCAS";13;-;4;17
"510250 CACERES";6;-;2;8
"510260 CAMPINAPOLIS";7;-;-;7
"510263 CAMPO NOVO DO PARECIS";5;-;3;8
"510267 CAMPO VERDE";17;-;-;17
"510320 COLIDER";3;-;1;4
"510340 CUIABA";99;31;25;155
"510410 GUARANTA DO NORTE";-;1;-;1
"510480 JACIARA";5;-;-;5
"510525 LUCAS DO RIO VERDE";37;1;-;38
"510622 NOVA MUTUM";7;-;-;7
"510677 PORTO ALEGRE DO NORTE";1;-;-;1
"510704 PRIMAVERA DO LESTE";18;-;3;21
"510740 SAO PEDRO DA CIPA";-;1;-;1
"510760 RONDONOPOLIS";21;3;-;24
"510787 SAPEZAL";2;-;1;3
"510790 SINOP";9;-;2;11
"510792 SORRISO";15;-;3;18
"510795 TANGARA DA SERRA";4;-;1;5
"510840 VARZEA GRANDE";2;-;-;2
"520005 ABADIA DE GOIAS";1;-;-;1
"520025 AGUAS LINDAS DE GOIAS";5;-;-;5
"520030 ALEXANIA";2;-;-;2
"520110 ANAPOLIS";74;-;13;87
"520130 ANICUNS";1;-;-;1
"520140 APARECIDA DE GOIANIA";16;-;11;27
"520180 ARAGOIANIA";1;-;-;1
"520330 BELA VISTA DE GOIAS";26;-;12;38
"520350 BOM JESUS DE GOIAS";1;-;-;1
"520390 BURITI ALEGRE";1;-;-;1
"520425 CACHOEIRA DOURADA";1;-;-;1
"520450 CALDAS NOVAS";9;1;-;10
"520465 CAMPINACU";1;-;-;1
"520490 CAMPOS BELOS";-;1;1;2
"520510 CATALAO";22;1;1;24
"520540 CERES";38;-;5;43
"520545 CEZARINA";1;-;-;1
"520551 COCALZINHO DE GOIAS";1;-;-;1
"520580 CORUMBA DE GOIAS";1;-;-;1
"520590 CORUMBAIBA";1;-;-;1
"520740 EDEIA";4;-;-;4
"520800 FORMOSA";4;-;-;4
"520860 GOIANESIA";1;-;-;1
"520870 GOIANIA";815;85;300;1200
"520880 GOIANIRA";1;-;-;1
"520890 GOIAS";1;-;-;1
"520910 GOIATUBA";3;-;-;3
"520970 HIDROLANDIA";2;-;-;2
"521000 INHUMAS";1;-;2;3
"521020 IPORA";1;-;-;1
"521040 ITABERAI";4;-;-;4
"521090 ITAPACI";1;-;-;1
"521150 ITUMBIARA";16;-;-;16
"521160 IVOLANDIA";1;-;-;1
"521180 JARAGUA";4;-;-;4
"521190 JATAI";14;-;4;18
"521230 LEOPOLDO DE BULHOES";1;-;-;1
"521250 LUZIANIA";4;-;2;6
"521295 MATRINCHA";1;-;-;1
"521308 MINACU";22;-;12;34
"521310 MINEIROS";16;-;-;16
"521375 MONTIVIDIU";3;-;-;3
"521380 MORRINHOS";2;1;1;4
"521450 NEROPOLIS";13;-;4;17
"521483 NOVA CRIXAS";2;-;-;2
"521570 PALMEIRAS DE GOIAS";-;-;1;1
"521640 PARAUNA";1;-;-;1
"521710 PIRACANJUBA";3;-;-;3
"521740 PIRES DO RIO";1;-;-;1
"521760 PLANALTINA";2;-;-;2
"521800 PORANGATU";2;-;1;3
"521850 QUIRINOPOLIS";3;-;1;4
"521878 RIO QUENTE";-;-;1;1
"521880 RIO VERDE";19;1;3;23
"521900 SANCLERLANDIA";1;-;-;1
"521930 SANTA HELENA DE GOIAS";3;-;-;3
"521935 SANTA ISABEL";1;-;-;1
"522010 SAO LUIS DE MONTES BELOS";2;-;-;2
"522020 SAO MIGUEL DO ARAGUAIA";1;-;-;1
"522040 SAO SIMAO";2;-;-;2
"522045 SENADOR CANEDO";5;-;1;6
"522140 TRINDADE";3;-;-;3
"522150 TURVANIA";-;-;1;1
"522155 TURVELANDIA";1;-;-;1
"522185 VALPARAISO DE GOIAS";1;-;-;1
"522200 VIANOPOLIS";7;-;-;7
"530010 BRASILIA";910;157;108;1175
"Total";84903;10941;9383;105227
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 As duplicidades e inconsistências do banco de dados foram corrigidas.
 Os dados são referentes aos anos de 2009 e 2010, período da pandemia pelo vírus da influenza pandêmica A (H1N1) 2009.
 A base de dados do ano de 2009 foi encerrada em 02/08/2010 e a base de dados de 2010 foi encerrada em 21/01/2011.
 Definição de caso utilizada durante as fases da pandemia:
	
		Fase de contenção: 19/04/2009 a 18/07/2009 (semana epidemiológica 16 a 28 de 2009);
     		Sindrome Gripal (SG) - Indivíduo com doença respiratória aguda caracterizada por febre, tosse e/ou dor de garganta;
     Fase de mitigação 2009: 19/07/2009 a 02/01/2010 (semana epidemiológica 29 a 52 de 2009);
     		Sindrome Respiratoria Aguda Grave (SRAG) - Indivíduo com doença respiratória aguda caracterizada por febre, tosse e dispnéia;
     Fase de mitigação 2010: A partir de 03/01/2010 (semana epidemiológica 01 de 2010);
     		Sindrome Respiratoria Aguda Grave com Hospitalização (SRAGHOSP) - Indivíduo com doença respiratória aguda caracterizada por febre,
           tosse e dispnéia e que requer hospitalização;
	
 Declaração de fase pós-pandêmica pela OMS: 10/08/2010.
 
