 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação e Síndrome Gripal
Período:2009-2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"312850 GUARARA";1;-;-;1
"312870 GUAXUPE";6;1;4;11
"312940 IBERTIOGA";9;-;1;10
"312950 IBIA";2;-;-;2
"312970 IBIRACI";1;-;-;1
"312980 IBIRITE";-;1;-;1
"313050 ILICINEA";7;-;-;7
"313070 INDIANOPOLIS";1;-;-;1
"313090 INHAPIM";3;-;-;3
"313120 IPANEMA";2;-;-;2
"313130 IPATINGA";19;4;-;23
"313170 ITABIRA";30;4;-;34
"313190 ITABIRITO";3;-;-;3
"313220 ITAGUARA";2;-;-;2
"313230 ITAIPE";1;-;-;1
"313240 ITAJUBA";15;4;-;19
"313270 ITAMBACURI";1;1;-;2
"313290 ITAMOGI";1;-;-;1
"313300 ITAMONTE";2;-;-;2
"313310 ITANHANDU";1;-;-;1
"313320 ITANHOMI";-;1;-;1
"313340 ITAPAGIPE";6;-;-;6
"313350 ITAPECERICA";2;-;-;2
"313360 ITAPEVA";1;-;-;1
"313375 ITAU DE MINAS";1;-;-;1
"313380 ITAUNA";12;1;2;15
"313420 ITUIUTABA";100;1;5;106
"313430 ITUMIRIM";11;-;-;11
"313440 ITURAMA";2;1;-;3
"313460 JABOTICATUBAS";3;-;-;3
"313490 JACUTINGA";2;-;-;2
"313510 JANAUBA";2;3;-;5
"313520 JANUARIA";-;1;-;1
"313540 JECEABA";1;1;-;2
"313620 JOAO MONLEVADE";21;-;1;22
"313665 JUATUBA";1;-;-;1
"313670 JUIZ DE FORA";246;11;14;271
"313700 LADAINHA";1;-;-;1
"313720 LAGOA DA PRATA";-;-;4;4
"313750 LAGOA FORMOSA";-;-;1;1
"313760 LAGOA SANTA";1;-;-;1
"313780 LAMBARI";4;-;-;4
"313820 LAVRAS";91;-;6;97
"313840 LEOPOLDINA";7;-;-;7
"313850 LIBERDADE";2;-;-;2
"313860 LIMA DUARTE";7;-;-;7
"313880 LUZ";1;-;-;1
"313900 MACHADO";2;-;-;2
"313940 MANHUACU";8;-;-;8
"313950 MANHUMIRIM";4;-;-;4
"313960 MANTENA";-;1;-;1
"313980 MAR DE ESPANHA";2;-;-;2
"313990 MARIA DA FE";1;-;-;1
"314000 MARIANA";6;-;2;8
"314080 MATIAS BARBOSA";10;-;-;10
"314110 MATOZINHOS";2;-;-;2
"314190 MINDURI";1;-;-;1
"314210 MIRADOURO";1;-;-;1
"314280 MONTE ALEGRE DE MINAS";18;-;-;18
"314310 MONTE CARMELO";13;-;-;13
"314320 MONTE SANTO DE MINAS";1;-;-;1
"314330 MONTES CLAROS";32;4;7;43
"314340 MONTE SIAO";4;-;-;4
"314390 MURIAE";5;2;2;9
"314410 MUZAMBINHO";5;-;1;6
"314460 NEPOMUCENO";5;1;5;11
"314470 NOVA ERA";1;-;-;1
"314480 NOVA LIMA";105;2;9;116
"314500 NOVA PONTE";1;-;-;1
"314520 NOVA SERRANA";2;-;-;2
"314530 NOVO CRUZEIRO";16;-;-;16
"314535 NOVO ORIENTE DE MINAS";1;-;-;1
"314560 OLIVEIRA";4;-;1;5
"314590 OURO BRANCO";23;2;-;25
"314600 OURO FINO";5;-;-;5
"314610 OURO PRETO";3;-;7;10
"314660 PAIVA";1;-;-;1
"314670 PALMA";2;-;-;2
"314675 PALMOPOLIS";-;1;-;1
"314690 PAPAGAIOS";2;-;-;2
"314700 PARACATU";7;-;-;7
"314710 PARA DE MINAS";5;-;2;7
"314720 PARAGUACU";1;-;-;1
"314730 PARAISOPOLIS";1;-;-;1
"314760 PASSA QUATRO";1;-;-;1
"314790 PASSOS";15;2;3;20
"314800 PATOS DE MINAS";23;2;7;32
"314810 PATROCINIO";20;-;10;30
"314820 PATROCINIO DO MURIAE";2;-;-;2
"314840 PAULISTAS";1;-;-;1
"314890 PEDRA DO INDAIA";1;-;-;1
"314930 PEDRO LEOPOLDO";14;-;-;14
"314950 PEQUERI";4;-;-;4
"314980 PERDIZES";1;-;-;1
"314990 PERDOES";2;-;-;2
"315120 PIRAPORA";4;1;-;5
"315140 PITANGUI";2;-;-;2
"315150 PIUMHI";2;-;-;2
"315180 POCOS DE CALDAS";99;4;4;107
"315200 POMPEU";1;-;-;1
"315210 PONTE NOVA";8;1;-;9
