"NOME_ESTACAO";"NOME_MUNIC";"UF";"ACETAL MED";"ACETAL DP";"BEN MED";"BEN DP";"BTEX MED";"BTEX DP";"CH MED";"CH DP";"CH4 MED";"CH4 DP";"CHO MED";"CHO DP";"CO MED";"CO DP";"COV MED";"COV DP";"DV MED";"DV DP";"ERT MED";"ERT DP";"Etil Benz MED";"Etil Benz DP";"FMC MED";"FMC DP";"FORMAL MED";"FORMAL DP";"H2S MED";"H2S DP";"HCT MED";"HCT DP";"HCnM MED";"HCnM DP";"M e P Xileno MED";"M e P Xileno DP";"MP10 MED";"MP10 DP";"MP2,5 MED";"MP2,5 DP";"NH3 MED";"NH3 DP";"NO MED";"NO DP";"NO2 MED";"NO2 DP";"NOx MED";"NOx DP";"O3 MED";"O3 DP";"Orto Xil MED";"Orto Xil DP";"PRESS MED";"PRESS DP";"PTS MED";"PTS DP";"Pb MED";"Pb DP";"RAD MED";"RAD DP";"SO2 MED";"SO2 DP";"SOx MED";"SOx DP";"TEMP MED";"TEMP DP";"TOL MED";"TOL DP";"U MED";"U DP";"UR MED";"UR DP";"VV MED";"VV DP";"XIL MED";"XIL DP"
Congonhas;São Paulo;SP;;;;;;;;;;;;;3.4;0.489898;;;;;;;;;;;;;;;;;;;;;20.6084;8.84052;27.5282;12.6602;;;;;16.6605;6.44699;;;;;;;;;;;;;;;4;0;;;;;;;;;;;;;;
Copacabana;Rio de Janeiro;RJ;;;;;;;40.6022;54.0021;;;;;8.11818;3.44563;;;193.532;68.1178;;;;;;;;;;;;;;;;;37.2339;22.1447;;;;;;;;;;;26.673;16.6339;;;1.35354;0.00547629;;;;;48.6157;84.2152;;;;;25.1811;3.1151;;;;;77.6789;14.9879;0.188066;0.105434;;
Copasa;Paracatu;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0813;21.8836;;;;;;;;;;;;;;;;;31.4102;33.4449;;;;;;;;;;;;;;;;;;;;
Cubatão-Centro;Cubatão;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.8408;11.5065;;;;;;;10.1915;6.05169;;;21.4928;12.5914;;;;;;;;;;;29.2758;16.2828;;;;;;;;;;;;;;
Cubatão-V.Parisi;Cubatão;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.0368;30.1649;;;;;;;13.3333;12.2202;;;;;;;;;;;;;;;46.0766;25.4641;;;;;;;;;;;;;;
Cubatão-Vale do Mogi;Cubatão;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.3501;11.1828;;;;;;;12.25;1.08972;;;30.7022;20.2869;;;;;;;;;;;27.5722;9.35763;;;;;;;;;;;;;;
CÂMARA;Camaçari;BA;;;;;;;;;;;;;;;;;153.134;64.7185;;;;;;;;;;;;;;;;;;;;;;;5.61012;8.33632;11.8367;9.32297;17.3264;14.5805;25.2701;15.401;;;;;;;;;;;2.73836;8.88426;;;;;;;;;;;1.66888;1.07829;;
Célvia;São José da Lapa;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.4987;162.131;27.0355;136.838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Córregos;Conceição do Mato Dentro;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.688;163.098;23.2857;127.499;;;;;;;;;;;;;;;42.5984;134.261;;;;;;;;;;;;;;;;;;;;
Diadema;Diadema;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.4936;9.67059;;;;;;;;;;;21.4514;12.0044;;;;;;;;;;;;;;;;;;;;;;;;;;
ESCOLA;Dias d'Ávila;BA;;;;;;;0.0427502;0.238797;;;;;;;;;154.153;65.409;1.63543;10.0787;;;;;;;;;;;;;;;;;;;1.87437;6.21618;6.09395;8.82086;7.56769;6.69575;13.4598;10.8431;29.9264;16.9752;;;1.14379;11.5183;;;;;;;3.219;23.229;;;25.4023;3.22084;;;76.2702;13.0652;;;2.14524;1.49446;;
ESTEIO/PARQUE DE EXPOSIÇÃO;Esteio;RS;;;;;;;;;;;;;2.7028;1.38808;;;;;;;;;;;;;;;;;;;;;18.8063;14.6557;;;;;;;17.416;9.98249;;;20.4496;19.4603;;;;;;;;;;;15.0915;16.6562;;;;;;;;;;;;;;
Escola Semetinha;Timóteo;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.9094;224.12;44.6127;166.499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estação E.M. Pe. Vicente Assunção;Brumadinho;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.2434;13.664;5.89869;4.63778;;;;;;;;;;;;;;;27.2581;30.9514;;;;;;;;;;;;;;;;;;;;
Estação Metereológica e Qualidade do Ar - Petrobras - UTE;Três Lagoas;MS;;;;;;;;;;;;;0.226822;0.262926;;;118.643;101.518;;;;;;;;;;;;;;;;;;;;;;;13.9204;15.5489;15.0933;14.1151;29.0137;26.2057;18.6043;29.7064;;;;;;;;;;;;;;;7.18816;29.4772;;;;;55.5657;31.7691;1.22279;0.990515;;
Estação Parque da Cachoeira;Brumadinho;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.86201;7.85024;19.6663;17.3641;;;;;;;;;;;;;;;38.9599;43.323;;;;;;;;;;;;;;;;;;;;
Estação de Monitoramento - Eldorado Brasil Celulose S.A.;Três Lagoas;MS;;;;;;;0.225079;1.94763;;;;;0.335263;0.027477;;;147.296;85.1913;;;;;;;;;;;;;;;;;27.0635;113.305;;;;;0.00596791;0.00901515;4.72435;7.58449;7.48023;10.9613;57.6048;27.1241;;;870.158;206.273;49.7484;168.895;;;;;;;;;;;;;;;139.439;108.118;1.10826;9.59251;;
Estação de Monitoramento - Suzano TLS1-VCPTL - Três Lagoas;Três Lagoas;MS;;;;;;;0.0010877;0.028541;;;;;0.318936;0.408111;;;169.378;108.03;;;;;;;;;2.7981;2.53331;;;;;;;;;;;;;3.38538;5.6591;5.73954;7.0482;9.10413;11.6223;13.8207;9.58208;;;;;;;;;-17.5;1.45661e-13;16.8211;17.1118;;;;;;;;;;;4.80731;4.07038;;
FUNAM;Pirapora;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.0416;148.563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FUTURAMA I;Dias d'Ávila;BA;;;;;;;;;;;;;;;;;;;1.0603;7.779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.51355;12.6679;;;;;;;;;;;;;;
Filhinha Gama;São José da Lapa;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;218.165;361.695;299.363;441.077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
