COD_MUNIC;NOTIFICACOES
310480;1
310490;36
310510;3
310540;4
310560;92
310570;1
310590;3
310610;1
310620;6130
310630;2
310640;1
310670;641
310690;1
310710;16
310730;14
310740;7
310810;1
310830;3
310850;1
310860;20
310900;7
310910;3
310920;1
310940;1
310950;1
310990;1
311000;5
311030;3
311050;12
311060;11
311090;2
311100;7
311110;16
311120;17
311160;8
311180;2
311200;2
311220;1
311230;13
311270;2
311320;1
311330;95
311340;34
311370;1
311400;2
311430;2
311450;1
311455;1
311500;2
311530;36
311550;6
311560;1
311580;3
311615;1
311660;2
311690;2
311730;3
311750;1
311770;3
311780;1
311800;8
311810;1
311830;58
311850;1
311860;259
311880;5
311920;1
311930;6
311940;103
311995;1
312020;2
312050;2
312060;2
312080;4
312090;68
312110;2
312130;1
312150;1
312160;35
312170;1
312200;1
312230;217
312245;1
312270;2
312320;1
312360;11
312380;1
312390;2
312410;3
312420;1
312430;6
312450;3
312470;1
312510;33
312560;6
312595;1
312610;68
312660;1
312670;5
312700;4
312710;43
312733;1
312750;1
312770;355
312780;1
312800;4
312810;1
312830;2
312860;1
312870;66
312900;1
312950;6
312965;2
312970;2
312980;12
313010;1
313030;1
313060;1
313115;2
313120;3
313130;427
313150;4
313160;1
313170;23
313190;2
313220;1
313240;139
313250;1
313270;11
313300;12
313310;8
313330;8
313350;1
313380;19
313420;199
313440;11
313480;2
313490;10
313505;7
313510;32
313520;12
313620;13
313630;2
313665;1
313670;537
313680;1
313690;2
313720;11
313760;5
313770;2
313780;6
313790;1
313810;1
313820;139
313840;31
313880;3
313890;3
313900;10
313920;3
313925;1
313930;3
313940;94
313950;10
313960;6
313990;3
314000;14
314040;1
314050;2
314070;6
314085;1
314090;1
314100;2
314110;1
314140;3
314180;2
314200;2
314220;3
314270;2
314280;5
314290;4
314310;16
314320;3
314330;402
314340;6
314390;22
314400;1
314410;8
314430;15
314460;1
314470;2
314480;67
314500;2
314520;12
314530;3
314537;1
314560;24
314590;40
314600;17
314610;29
314630;2
314650;1
314655;1
314700;45
314710;30
314720;2
314760;8
314790;110
314800;129
314810;35
314860;1
314870;3
314930;6
314970;1
314990;1
315050;2
315110;2
315120;22
315140;1
315150;24
315170;2
315180;99
315190;2
315200;1
315210;45
315220;2
315250;243
315280;2
315290;1
315400;3
315430;20
315445;1
315460;31
315470;1
315490;1
315560;3
315570;1
315600;1
315650;1
315670;10
315680;1
315690;7
315700;7
315720;5
315765;1
315770;1
315780;13
315790;2
315820;2
315890;1
315960;9
315970;2
315980;3
315990;3
316030;1
316040;5
316045;1
316070;2
316100;2
316110;8
316130;1
316150;1
316170;1
316180;2
316200;11
316210;19
316230;1
316240;1
316250;24
316265;1
316270;2
316290;2
316370;43
316430;1
316460;1
316470;72
316510;3
316520;1
316530;2
316553;5
316557;1
316600;1
316710;4
316720;289
316800;21
316860;160
316870;32
316880;1
316920;1
316930;42
316935;5
316940;27
316960;1
316970;4
316990;77
317005;1
317010;1291
317020;2528
317040;31
317052;1
317065;1
317070;182
317080;6
317090;1
317100;1
317120;2
317130;68
317160;2
317170;1
317180;2
317200;21
320010;1
320020;1
320030;1
320040;3
320060;17
320070;1
320080;3
320090;10
320100;3
320120;356
320130;251
320140;17
320150;131
320160;6
320170;1
320190;43
320210;2
320220;1
320230;17
320240;9
320245;3
320255;3
320260;10
320280;6
320290;2
320300;5
320305;14
320313;2
320316;1
320320;230
320334;1
320340;3
320350;3
320360;4
320370;2
320390;3
320400;1
320405;5
320410;1
320430;2
320435;1
320450;2
320455;2
320460;3
320470;3
320480;2
320490;196
320495;1
320500;277
320503;2
320506;30
320510;1
320520;289
320530;996
330010;83
330015;5
330020;55
330023;29
330025;3
330030;23
330040;34
330045;61
330050;10
330060;29
330070;100
330080;10
330090;7
330093;1
330100;586
330110;1
330120;5
330130;13
330140;2
330150;5
330170;1095
330185;19
330187;4
330190;88
330200;78
330205;1
330210;18
330220;291
330225;5
330227;15
330230;2
330240;275
330250;52
330260;15
330270;61
330285;36
330290;9
330300;2
330320;120
330330;1120
330340;73
330350;557
330360;11
330370;4
330380;20
330385;3
330390;278
330395;6
330400;18
330410;3
330411;7
330412;1
330414;9
330415;10
330420;137
330430;30
330450;2
330452;39
330455;10881
330470;22
330475;3
330480;10
330490;805
330500;2
330510;58
330513;1
330515;1
330520;17
330530;2
330540;1
330550;29
330555;7
330560;4
330570;5
330575;8
330580;152
330590;1
330600;37
330610;25
330615;2
330620;25
330630;214
350010;24
350030;15
350040;1
350050;17
350060;1
350070;5
350130;1
350160;1148
350170;61
350190;63
350210;88
350220;1
350250;14
350270;6
350275;3
350280;1086
350290;2
350310;2
350320;361
350330;522
350340;4
350380;2
350390;109
350400;158
350410;349
350420;1
350450;220
350510;3
350530;19
350550;524
350570;2491
350580;6
350590;51
350600;1733
350610;368
350630;5
350635;66
350650;54
350670;1
350700;17
350710;2
350740;1
350750;663
350760;486
350770;1
350780;1
350790;14
350810;17
350840;11
350850;22
350860;1
350870;3
350880;5
350900;86
350920;35
350930;1
350940;5
350950;4159
350960;33
350970;22
351000;9
351020;29
351040;64
351050;57
351060;362
351080;5
351110;764
351130;1
351140;5
351150;9
351160;2
351170;3
351190;1
351200;2
351220;13
351280;13
351300;408
351340;52
351350;274
351360;1
351370;5
351380;767
351390;6
351410;83
351440;73
351450;1
351500;260
351510;2
351515;1
351518;114
351519;2
351520;1
351540;20
351550;181
351570;114
351600;2
351620;627
351630;151
351640;144
351670;89
351740;31
351760;5
351770;3
351820;22
351830;11
351840;62
351850;3
351860;3
351870;510
351880;3174
351905;1
351907;193
351920;2
351930;6
351940;1
351950;1
351960;25
351970;27
351990;1
352000;3
352010;23
352040;87
352044;13
352050;364
352060;1
352070;1
352090;2
352100;2
352130;1
352170;1
352180;5
352210;38
352220;638
352230;218
352240;51
352250;396
352260;90
352270;23
352280;8
352310;388
352320;7
352340;124
352360;3
352370;1
352390;185
352400;10
352410;42
352430;148
352440;304
352470;58
352480;60
352500;15
352510;1
352520;4
352530;270
352540;1
352550;1
352570;2
352590;1759
352600;1
352610;2
352640;35
352650;2
352670;284
352680;93
352690;1006
352710;98
352720;49
352725;1
352730;57
352740;7
352790;1
352800;6
352840;2
352850;43
352880;1
352900;1063
352920;4
352930;46
352940;765
352950;1
352970;2
353010;45
353050;143
353060;1239
353070;323
353080;62
353100;1
353110;20
353130;39
353150;3
353180;22
353190;3
353200;3
353240;3
353290;1
353340;76
353350;78
353360;6
353380;1
353390;56
353430;163
353440;2061
353460;17
353470;206
353480;1
353530;8
353540;3
353550;8
353620;221
353630;2
353640;2
353650;262
353670;4
353700;1
353710;3
353730;144
353740;16
353760;60
353780;23
353790;6
353800;88
353860;6
353870;511
353880;5
353910;11
353930;32
353950;58
353980;42
354000;4
354020;6
354060;26
354070;41
354080;1
354090;1
354100;238
354130;10
354140;1467
354150;20
354160;8
354170;1
354220;16
354260;14
354280;1
354300;5
354325;1
354330;975
354340;2335
354370;1
354390;293
354400;7
354410;1
354425;18
354440;1
354480;1
354490;13
354520;447
354530;9
354540;2
354580;178
354600;1
354630;13
354640;23
354650;1
354660;16
354670;4
354680;27
354690;2
354700;1
354710;2
354730;176
354750;13
354770;3
354780;3707
354790;1
354850;1466
354860;10
354870;5128
354880;1396
354890;701
354910;144
354940;111
354950;1
354970;30
354980;4371
354990;1577
355010;7
355020;3
355030;49427
355040;10
355060;47
355070;69
355080;4
355100;328
355150;2
355160;4
355170;250
355180;1
355190;1
355210;6
355220;3579
355240;335
355250;209
355260;1
355270;1
355280;281
355290;1
355330;6
355360;2
355370;21
355380;2
355400;267
355410;452
355430;6
355450;11
355480;4
355500;83
355510;21
355540;78
355560;1
355600;1
355610;1
355620;168
355630;10
355640;26
355645;3
355650;13
355670;99
355680;2
355700;59
355710;217
355720;5
355730;1
410030;1
410050;1
410060;6
410080;3
410090;1
410100;4
410110;4
410140;232
410150;108
410160;5
410180;137
410190;9
410200;18
410210;6
410240;10
410250;1
410260;3
410275;1
410290;3
410304;1
410305;2
410330;4
410345;5
410347;1
410360;2
410370;96
410390;2
410400;516
410420;295
410430;123
410450;7
410460;12
410470;10
410480;1256
410490;37
410520;1
410530;1
410540;49
